GID	GENE_NAME	TYPE	ASPGD_ID	DESCRIPTION	KEGG_ID	NCBI_ID
AN1639	AN1639	ORF|Uncharacterized	ASPL0000048559	Ortholog(s) have protein disulfide oxidoreductase activity and role in negative regulation of transcription by RNA polymerase II, proteasome-mediated ubiquitin-dependent protein catabolic process	AN1639.2	2875355
AN1640	AN1640	ORF|Uncharacterized	ASPL0000050134	Ortholog of Neosartorya fischeri NRRL 181 : NFIA_028180, Aspergillus versicolor : Aspve1_0122087 and Aspergillus sydowii : Aspsy1_0135110, Aspsy1_0638682	AN1640.2	2875319
AN1641	AN1641	ORF|Uncharacterized	ASPL0000045656	Ortholog(s) have role in sporocarp development involved in sexual reproduction	AN1641.2	2874720
AN1642	AN1642	ORF|Uncharacterized	ASPL0000051187	Putative vanillyl alcohol oxidase-related protein	AN1642.2	2875354
AN1643	AN1643	ORF|Uncharacterized	ASPL0000046682	Has domain(s) with predicted oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen activity and role in oxidation-reduction process	AN1643.2	2875358
AN1644	AN1644	ORF|Uncharacterized	ASPL0000041959	Protein of unknown function	AN1644.2	2875321
AN1645	AN1645	ORF|Uncharacterized	ASPL0000047573	Has domain(s) with predicted role in blood coagulation, proteolysis and extracellular region localization	AN1645.2	2875320
AN1646	AN1646	ORF|Uncharacterized	ASPL0000042890	Ortholog of Aspergillus versicolor : Aspve1_0064838 and Aspergillus sydowii : Aspsy1_0059989	AN1646.2	2875380
AN1647	AN1647	ORF|Uncharacterized	ASPL0000048541	Protein of unknown function	AN1647.2	2875322
AN1648	AN1648	ORF|Uncharacterized	ASPL0000043949	Has domain(s) with predicted GTP binding, GTPase activity	AN1648.2	2875323
AN1649	AN1649	ORF|Uncharacterized	ASPL0000049467	Protein of unknown function; transcript repressed by nitrate	AN1649.2	2875383
AN1650	AN1650	ORF|Uncharacterized	ASPL0000051167	Has domain(s) with predicted oxidoreductase activity and role in metabolic process	AN1650.2	2875382
AN1651	AN1651	ORF|Uncharacterized	ASPL0000046666	Ortholog of A. nidulans FGSC A4 : AN8144, A. fumigatus Af293 : Afu5g14600, Afu6g00460, Afu6g13950, A. niger CBS 513.88 : An11g02490, An01g11420 and A. oryzae RIB40 : AO090001000384, AO090011000740	AN1651.2	2875318
AN1652	msnA	ORF|Uncharacterized	ASPL0000041955	Putative zinc-finger transcription factor; induced under high-salt conditions	AN1652.2	2875735
AN1654	AN1654	ORF|Uncharacterized	ASPL0000042886	Ortholog of A. fumigatus Af293 : Afu4g08750, A. niger CBS 513.88 : An04g03610, Aspergillus wentii : Aspwe1_0034423 and Aspergillus sydowii : Aspsy1_0084030	AN1654.2	2875737
AN1656	AN1656	ORF|Uncharacterized	ASPL0000043948	Ortholog of A. fumigatus Af293 : Afu6g03025, Neosartorya fischeri NRRL 181 : NFIA_049360, Aspergillus wentii : Aspwe1_0175985 and Aspergillus versicolor : Aspve1_0037520	AN1656.2	2875736
AN1658	AN1658	ORF|Uncharacterized	ASPL0000044927	Has domain(s) with predicted zinc ion binding activity	AN1658.2	2875458
AN1659	AN1659	ORF|Uncharacterized	ASPL0000050470	Putative amino acid transporter; transcript is induced by nitrate	AN1659.2	2875564
AN1660	AN1660	ORF|Uncharacterized	ASPL0000041941	Ortholog of A. fumigatus Af293 : Afu4g08830, A. niger CBS 513.88 : An04g03720, A. oryzae RIB40 : AO090023001011, Aspergillus wentii : Aspwe1_0166998 and Aspergillus sydowii : Aspsy1_0142212	AN1660.2	2875462
AN1661	ricA	ORF|Verified	ASPL0000047537	Predicted GDP/GTP exchange factor for G proteins, required for sexual and asexual development; physically interacts with GanB	AN1661.2	2875459
AN1662	AN1662	ORF|Uncharacterized	ASPL0000042874	Ortholog(s) have fungal biofilm matrix localization	AN1662.2	2875461
AN1663	AN1663	ORF|Uncharacterized	ASPL0000048527	Has domain(s) with predicted ATP binding, phosphotransferase activity, alcohol group as acceptor activity, role in lipopolysaccharide biosynthetic process and membrane localization	AN1663.2	2875452
AN1664	AN1664	ORF|Uncharacterized	ASPL0000043936	Has domain(s) with predicted hydrolase activity	AN1664.2	2875561
AN1665	stk51	ORF|Uncharacterized	ASPL0000049449	Has domain(s) with predicted ATP binding, protein kinase activity, protein tyrosine kinase activity and role in protein phosphorylation	AN1665.2	2875430
AN1666	AN1666	ORF|Uncharacterized	ASPL0000044917	Putative nucleolar GTPase; ortholog of S. cerevisiae NOG2 which has role in ribosomal large subunit export from nucleus; expression reduced after exposure to farnesol	AN1666.2	2875429
AN1667	AN1667	ORF|Uncharacterized	ASPL0000050447	Ortholog(s) have mitochondrial ribosome localization	AN1667.2	2875460
AN1668	AN1668	ORF|Uncharacterized	ASPL0000045971	Ortholog(s) have role in nucleotide-excision repair, phosphorylation of RNA polymerase II C-terminal domain, transcription by RNA polymerase II and transcription factor TFIIH holo complex, transcription factor TFIIK complex localization	AN1668.2	2875432
AN1669	AN1669	ORF|Uncharacterized	ASPL0000051487	Ortholog of A. fumigatus Af293 : Afu4g08910, A. niger CBS 513.88 : An04g03820, A. oryzae RIB40 : AO090023000638, Aspergillus wentii : Aspwe1_0047629 and Aspergillus sydowii : Aspsy1_0283122	AN1669.2	2875298
AN1670	AN1670	ORF|Uncharacterized	ASPL0000042856	Ortholog of A. niger CBS 513.88 : An04g03830, Aspergillus wentii : Aspwe1_0047606, Aspergillus versicolor : Aspve1_0079774 and Aspergillus niger ATCC 1015 : 124618-mRNA	AN1670.2	2875300
AN1671	AN1671	ORF|Uncharacterized	ASPL0000048509	Putative diacylglycerol pyrophosphate phosphatase with a predicted role in phospholipid metabolism	AN1671.2	2875297
AN1672	AN1672	ORF|Uncharacterized	ASPL0000043910	Protein of unknown function	AN1672.2	2875299
AN1673	AN1673	ORF|Uncharacterized	ASPL0000049433	Ortholog(s) have 3-deoxy-7-phosphoheptulonate synthase activity	AN1673.2	2875563
AN1674	AN1674	ORF|Uncharacterized	ASPL0000044913	Ortholog of A. nidulans FGSC A4 : AN5649, AN0384, AN1268, AN7262, A. fumigatus Af293 : Afu1g01700, Afu2g17000, Afu4g08730, Afu4g13630, Afu1g10012 and A. niger CBS 513.88 : An01g09380, An01g06520, An04g09080, An04g03600	AN1674.2	2875431
AN1675	AN1675	ORF|Uncharacterized	ASPL0000050431	Putative lysophospholipase (phoshopholipase B); predicted glycosylphosphatidylinositol (GPI)-anchored protein	AN1675.2	2875005
AN1676	AN1676	ORF|Uncharacterized	ASPL0000045959	Has domain(s) with predicted L-ascorbic acid binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity and role in oxidation-reduction process	AN1676.2	2875003
AN1677	AN1677	ORF|Uncharacterized	ASPL0000051473	Short-chain dehydrogenase; transcriptionally induced by growth on xylose	AN1677.2	2875004
AN1678	AN1678	ORF|Uncharacterized	ASPL0000046956	Putative transcription factor; predicted role in secondary metabolite production	AN1678.2	2875006
AN1679	AN1679	ORF|Uncharacterized	ASPL0000042270	Putative oxidoreductase with a predicted role in carbohydrate metabolism	AN1679.2	2875002
AN1680	AN1680	ORF|Uncharacterized	ASPL0000043896	Putative nonribosomal peptide synthase (NRPS)-like enzyme	AN1680.2	2875076
AN1681	AN1681	ORF|Uncharacterized	ASPL0000049415	Has domain(s) with predicted role in transmembrane transport and integral component of membrane localization	AN1681.2	2875078
AN1682	AN1682	ORF|Uncharacterized	ASPL0000044905	Ortholog of A. fumigatus Af293 : Afu4g08680, A. niger CBS 513.88 : An04g03500, A. oryzae RIB40 : AO090023000689, Aspergillus wentii : Aspwe1_0075630 and Aspergillus sydowii : Aspsy1_0038709	AN1682.2	2875077
AN1683	AN1683	ORF|Uncharacterized	ASPL0000050411	Putative oligosaccharyltransferase delta subunit; ortholog of S. cerevisiae Swp1p	AN1683.2	2874709
AN1684	AN1684	ORF|Uncharacterized	ASPL0000045955	Ortholog of A. fumigatus Af293 : Afu4g08650, A. niger CBS 513.88 : An04g03490, A. oryzae RIB40 : AO090023000691, Aspergillus wentii : Aspwe1_0167016 and Aspergillus sydowii : Aspsy1_0026068	AN1684.2	2874710
AN1685	AN1685	ORF|Uncharacterized	ASPL0000051461	Putative phytase with a predicted role in phytic acid catabolism	AN1685.2	2874708
AN1686	AN1686	ORF|Uncharacterized	ASPL0000046946	Ortholog of A. fumigatus Af293 : Afu4g08620, A. niger CBS 513.88 : An04g03440, Neosartorya fischeri NRRL 181 : NFIA_107560, Aspergillus wentii : Aspwe1_0079295 and Aspergillus versicolor : Aspve1_0124141	AN1686.2	2875685
AN1687	AN1687	ORF|Uncharacterized	ASPL0000042256	Protein of unknown function	AN1687.2	2875683
AN1688	AN1688	ORF|Uncharacterized	ASPL0000047839	Ortholog of S. cerevisiae : YBR053C, A. fumigatus Af293 : Afu4g08610, A. niger CBS 513.88 : An04g03420, A. oryzae RIB40 : AO090023000696 and Aspergillus wentii : Aspwe1_0034438	AN1688.2	2875684
AN1689	AN1689	ORF|Uncharacterized	ASPL0000043222	Putative oxidoreductase; putative salicylaldehyde dehydrogenase with a predicted role in naphthalene degradation; upregulated under hypoxic growth conditions	AN1689.2	2875619
AN1690	AN1690	ORF|Uncharacterized	ASPL0000044883	Has domain(s) with predicted DNA binding activity, role in regulation of transcription, DNA-templated and chromatin, nucleus localization	AN1690.2	2875686
AN1691	AN1691	ORF|Uncharacterized	ASPL0000050389	Has domain(s) with predicted role in transmembrane transport and integral component of membrane localization	AN1691.2	2875622
AN1693	AN1693	ORF|Uncharacterized	ASPL0000051435	Putative F-box protein	AN1693.2	2875620
AN1694	AN1694	ORF|Uncharacterized	ASPL0000046944	Ortholog of A. fumigatus Af293 : Afu4g08550, A. niger CBS 513.88 : An04g03330, A. oryzae RIB40 : AO090023000706, Aspergillus wentii : Aspwe1_0023110 and Aspergillus sydowii : Aspsy1_0138466	AN1694.2	2875574
AN1695	AN1695	ORF|Uncharacterized	ASPL0000042232	Ortholog of S. cerevisiae : YPL247C, A. fumigatus Af293 : Afu4g08530, A. niger CBS 513.88 : An04g03320, A. oryzae RIB40 : AO090023000707 and Aspergillus wentii : Aspwe1_0023111	AN1695.2	2875575
AN1696	AN1696	ORF|Uncharacterized	ASPL0000047827	Has domain(s) with predicted transferase activity, transferring acyl groups other than amino-acyl groups activity	AN1696.2	2875687
AN1697	AN1697	ORF|Uncharacterized	ASPL0000043216	Ortholog(s) have role in cellular response to drug	AN1697.2	2875544
AN1698	AN1698	ORF|Uncharacterized	ASPL0000048829	Ortholog(s) have role in negative regulation of antisense RNA transcription, positive regulation of transcription elongation from RNA polymerase II promoter and DSIF complex localization	AN1698.2	2875573
AN1699	AN1699	ORF|Uncharacterized	ASPL0000044250	Putative acyl-coA dehydrogenase; expression upregulated after exposure to farnesol	AN1699.2	2875545
AN1700	AN1700	ORF|Uncharacterized	ASPL0000047917	Putative 26S proteasome regulatory subunit; transcript upregulated in response to camptothecin	AN1700.2	2874940
AN1701	AN1701	ORF|Uncharacterized	ASPL0000043270	Ortholog of A. fumigatus Af293 : Afu4g08470, A. niger CBS 513.88 : An04g03260/atg28, A. oryzae RIB40 : AO090023000715, Aspergillus wentii : Aspwe1_0034455 and Aspergillus sydowii : Aspsy1_0038734	AN1701.2	2875543
AN1702	AN1702	ORF|Uncharacterized	ASPL0000048923	Protein of unknown function	AN1702.2	2874941
AN1703	CYP5128A1	ORF|Uncharacterized	ASPL0000044338	Putative cytochrome P450	AN1703.2	2875621
AN1704	AN1704	ORF|Uncharacterized	ASPL0000049803	Ortholog(s) have role in xanthophyll metabolic process	AN1704.2	2875405
AN1705	AN1705	ORF|Uncharacterized	ASPL0000045305	Has domain(s) with predicted DNA-binding transcription factor activity, RNA polymerase II-specific, nucleic acid binding, zinc ion binding activity, role in regulation of transcription, DNA-templated and nucleus localization	AN1705.2	2875407
AN1706	AN1706	ORF|Uncharacterized	ASPL0000050851	Has domain(s) with predicted peptidase activity and role in proteolysis	AN1706.2	2875409
AN1707	AN1707	ORF|Uncharacterized	ASPL0000046392	Ortholog of A. fumigatus Af293 : Afu4g08295, Afu1g02255, A. niger CBS 513.88 : An04g02900, An01g06010, A. oryzae RIB40 : AO090005000874 and Aspergillus wentii : Aspwe1_0167050	AN1707.2	2874943
AN1708	mshA	ORF|Uncharacterized	ASPL0000041666	Putative MutS homolog with a predicted role in DNA mismatch repair; transcript upregulated in response to camptothecin	AN1708.2	2874945
AN1709	AN1709	ORF|Verified	ASPL0000047310	Bifunctional protein with mitochondrial tyrosyl-tRNA synthetase and group I intron splicing activities; splices the group I intron of the mitochondrial large (23S) rRNA precursor	AN1709.2	2874942
AN1710	AN1710	ORF|Uncharacterized	ASPL0000048909	Ortholog(s) have aspartate-tRNA ligase activity, role in mitochondrial aspartyl-tRNA aminoacylation and mitochondrion localization	AN1710.2	2874828
AN1711	AN1711	ORF|Uncharacterized	ASPL0000044316	Ortholog(s) have large ribosomal subunit rRNA binding, ribosomal large subunit binding activity, role in ribosomal large subunit export from nucleus and cytosol, cytosolic large ribosomal subunit localization	AN1711.2	2875408
AN1712	AN1712	ORF|Uncharacterized	ASPL0000049789	Ortholog of A. fumigatus Af293 : Afu4g08460, A. oryzae RIB40 : AO090023000716, Neosartorya fischeri NRRL 181 : NFIA_107710, Aspergillus wentii : Aspwe1_0102930 and Aspergillus versicolor : Aspve1_0079819	AN1712.2	2874831
AN1713	AN1713	ORF|Uncharacterized	ASPL0000045293	Ortholog(s) have calcium-independent phospholipase A2 activity, lysophosphatidic acid acyltransferase activity, sterol esterase activity, triglyceride lipase activity	AN1713.2	2874944
AN1714	AN1714	ORF|Uncharacterized	ASPL0000050847	Ortholog of A. nidulans FGSC A4 : AN1718, A. fumigatus Af293 : Afu4g08380, Afu4g08420, A. niger CBS 513.88 : An04g03190, An04g03210 and A. oryzae RIB40 : AO090023000718	AN1714.2	2875406
AN1715	AN1715	ORF|Uncharacterized	ASPL0000046364	Putative mannose-6-phosphate isomerase with a predicted role in mannose/mannitol, fructose, and sorbose/sorbitol metabolism	AN1715.2	2874829
AN1716	AN1716	ORF|Uncharacterized	ASPL0000041648	Ortholog of Aspergillus versicolor : Aspve1_0037607, Aspergillus sydowii : Aspsy1_0084105 and Aspergillus terreus NIH2624 : ATET_05357	AN1716.2	2875716
AN1717	AN1717	ORF|Uncharacterized	ASPL0000047292	Protein of unknown function	AN1717.2	2875717
AN1718	AN1718	ORF|Uncharacterized	ASPL0000042635	Ortholog of A. nidulans FGSC A4 : AN1714, A. fumigatus Af293 : Afu4g08380, Afu4g08420, A. niger CBS 513.88 : An04g03190, An04g03210 and A. oryzae RIB40 : AO090023000718	AN1718.2	2874830
AN1719	AN1719	ORF|Uncharacterized	ASPL0000048237	Ortholog of A. fumigatus Af293 : Afu4g08370, A. niger CBS 513.88 : An04g03180, A. oryzae RIB40 : AO090701000366 and Aspergillus wentii : Aspwe1_0102057, Aspwe1_0436878	AN1719.2	2875541
AN1720	AN1720	ORF|Uncharacterized	ASPL0000049775	Has domain(s) with predicted transcription coregulator activity, role in regulation of transcription by RNA polymerase II and mediator complex localization	AN1720.2	2875539
AN1721	AN1721	ORF|Uncharacterized	ASPL0000045285	Ortholog of A. fumigatus Af293 : Afu4g08350, A. niger CBS 513.88 : An04g03130, A. oryzae RIB40 : AO090023000724, Aspergillus wentii : Aspwe1_0034464 and Aspergillus sydowii : Aspsy1_0084114	AN1721.2	2875720
AN1722	AN1722	ORF|Uncharacterized	ASPL0000050841	Ortholog(s) have role in heme a biosynthetic process	AN1722.2	2875540
AN1723	AN1723	ORF|Uncharacterized	ASPL0000046360	Ortholog(s) have cell septum, hyphal tip localization	AN1723.2	2875538
AN1724	AN1724	ORF|Uncharacterized	ASPL0000041626	Has domain(s) with predicted role in transmembrane transport and integral component of membrane localization	AN1724.2	2875542
AN1725	AN1725	ORF|Uncharacterized	ASPL0000047260	Ortholog of S. cerevisiae : YEL023C, A. nidulans FGSC A4 : AN5027, A. fumigatus Af293 : Afu2g14400, Afu3g12130 and A. niger CBS 513.88 : An11g08400, An02g07940, An12g01310, An02g00780	AN1725.2	2875719
AN1726	AN1726	ORF|Uncharacterized	ASPL0000042617	Putative 3-methyl-2-oxobutanoate dehydrogenase	AN1726.2	2875434
AN1729	prnA	ORF|Verified	ASPL0000049169	Transcriptional activator from the zinc binuclear cluster family, regulates the four gene cluster (prn) involved in proline utilization	AN1729.2	2875277
AN1730	prnX	ORF|Uncharacterized	ASPL0000050823	Protein of the prn gene cluster; predicted to be involved in proline metabolism	AN1730.2	2874986
AN1731	prnD	ORF|Verified	ASPL0000046336	Putative proline dehydrogenase with a predicted role in proline metabolism; expression is regulated by carbon and nitrogen repression; negatively regulated by CreA	AN1731.2	2875280
AN1732	prnB	ORF|Verified	ASPL0000041612	Proline transporter; localized to plasma membrane, mislocalized in shrA null mutant; expression is regulated by carbon and nitrogen repression; negatively regulated by CreA	AN1732.2	2875279
AN1733	prnC	ORF|Verified	ASPL0000047248	Putative delta-1-pyrroline-5-carboxylate dehydrogenase with a predicted role in glutamate and glutamine metabolism; expression is negatively regulated by CreA	AN1733.2	2875278
AN1734	AN1734	ORF|Uncharacterized	ASPL0000042613	Ortholog of A. fumigatus Af293 : Afu6g08740, A. niger CBS 513.88 : An11g06130, A. oryzae RIB40 : AO090001000548, Aspergillus wentii : Aspwe1_0120879 and Aspergillus sydowii : Aspsy1_0289054	AN1734.2	2874600
AN1736	AN1736	ORF|Uncharacterized	ASPL0000043616	Has domain(s) with predicted DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding activity, role in regulation of transcription, DNA-templated and nucleus localization	AN1736.2	2874603
AN1737	CYP567C1	ORF|Uncharacterized	ASPL0000049161	Putative cytochrome P450; transcript is induced by nitrate	AN1737.2	2874601
AN1738	AN1738	ORF|Uncharacterized	ASPL0000044594	Ortholog of A. nidulans FGSC A4 : AN6413, AN6419, AN6946, AN5312, AN5664, AN8328, AN3241, AN10369, AN1930, AN2386, AN11159, AN8984, AN8951, AN1540, AN8971, AN9387, AN9266, AN9306, AN1317, AN10886, AN7232, AN7774, AN12202	AN1738.2	2874887
AN1739	AN1739	ORF|Uncharacterized	ASPL0000050094	Protein of unknown function	AN1739.2	2874602
AN1740	AN1740	ORF|Uncharacterized	ASPL0000041588	Protein of unknown function	AN1740.2	2874890
AN1741	AN1741	ORF|Uncharacterized	ASPL0000047240	Protein of unknown function	AN1741.2	2875109
AN1742	mndA	ORF|Uncharacterized	ASPL0000042593	Putative beta-1,4-mannosidase with a predicted role in polysaccharide degradation	AN1742.2	2874889
AN1743	artC	ORF|Uncharacterized	ASPL0000048211	Putative methyltransferase with a predicted role in histidine metabolism	AN1743.2	2875111
AN1744	AN1744	ORF|Uncharacterized	ASPL0000043604	Has domain(s) with predicted carbohydrate binding, carbohydrate derivative binding activity and role in carbohydrate derivative metabolic process, carbohydrate metabolic process	AN1744.2	2874888
AN1745	AN1745	ORF|Uncharacterized	ASPL0000049147	Has domain(s) with predicted catalytic activity, nucleotidyltransferase activity and role in NAD biosynthetic process, biosynthetic process	AN1745.2	2875110
AN1746	hulC	ORF|Uncharacterized	ASPL0000044576	Putative HECT ubiquitin ligase	AN1746.2	2875694
AN1747	AN1747	ORF|Uncharacterized	ASPL0000050080	Ortholog(s) have mitochondrial inner membrane localization	AN1747.2	2875112
AN1748	CYP666A1	ORF|Uncharacterized	ASPL0000045632	Putative cytochrome P450	AN1748.2	2875698
AN1749	AN1749	pseudogene	ASPL0000082114	Possible pseudogene	AN1749.2	2875696
AN1750	AN1750	ORF|Uncharacterized	ASPL0000042587	Has domain(s) with predicted ATP binding, ATP-dependent helicase activity, helicase activity, nucleic acid binding activity	AN1750.2	2875695
AN1751	AN1751	ORF|Uncharacterized	ASPL0000048209	Has domain(s) with predicted methyltransferase activity and role in RNA methylation, methylation	AN1751.2	2875180
AN1752	AN1752	ORF|Uncharacterized	ASPL0000043602	Putative sulfite reductase with a predicted role in sulfur metabolism	AN1752.2	2875178
AN1753	AN1753	ORF|Uncharacterized	ASPL0000049137	Ortholog of S. cerevisiae : FMP52, A. fumigatus Af293 : Afu6g08930, A. niger CBS 513.88 : An11g06680, A. oryzae RIB40 : AO090001000572, AO090010000132 and Aspergillus wentii : Aspwe1_0706048	AN1753.2	2875697
AN1754	AN1754	ORF|Uncharacterized	ASPL0000044570	Putative protein of unknown function; expression upregulated after exposure to farnesol	AN1754.2	2875699
AN1755	AN1755	ORF|Uncharacterized	ASPL0000050064	Protein of unknown function	AN1755.2	2875126
AN1756	AN1756	ORF|Uncharacterized	ASPL0000045626	Ortholog of A. fumigatus Af293 : Afu6g08950, Neosartorya fischeri NRRL 181 : NFIA_054610, Aspergillus wentii : Aspwe1_0045864 and Aspergillus versicolor : Aspve1_0025102	AN1756.2	2875128
AN1757	ssfA	ORF|Verified	ASPL0000051129	Predicted alpha 3 subunit of the 20S core proteasome; involved in N-myristoylation and cell morphogenesis	AN1757.2	2875127
AN1758	AN1758	ORF|Uncharacterized	ASPL0000046640	Ortholog of A. fumigatus Af293 : Afu6g08980, A. niger CBS 513.88 : An11g06730, A. oryzae RIB40 : AO090001000575, Aspergillus wentii : Aspwe1_0176978 and Aspergillus sydowii : Aspsy1_0026144	AN1758.2	2875131
AN1759	AN1759	ORF|Uncharacterized	ASPL0000041917	Ortholog of A. fumigatus Af293 : Afu6g08990, A. niger CBS 513.88 : An11g06740, Aspergillus wentii : Aspwe1_0032502, Aspergillus sydowii : Aspsy1_0053695 and Aspergillus terreus NIH2624 : ATET_06657	AN1759.2	2874735
AN1760	AN1760	ORF|Uncharacterized	ASPL0000043590	Ortholog(s) have role in autophagy, macroautophagy	AN1760.2	2875179
AN1761	AN1761	ORF|Uncharacterized	ASPL0000049123	Ortholog(s) have ubiquitin-protein transferase activity and role in negative regulation of gluconeogenesis, proteasome-mediated ubiquitin-dependent protein catabolic process, ubiquitin-dependent protein catabolic process	AN1761.2	2875130
AN1762	AN1762	ORF|Uncharacterized	ASPL0000044552	Ortholog of A. fumigatus Af293 : Afu6g09150, A. niger CBS 513.88 : An11g06890, Aspergillus wentii : Aspwe1_0120593, Aspergillus sydowii : Aspsy1_0139038 and Aspergillus terreus NIH2624 : ATET_06673	AN1762.2	2874725
AN1763	AN1763	ORF|Uncharacterized	ASPL0000050054	Has domain(s) with predicted oxidoreductase activity and role in metabolic process	AN1763.2	2874724
AN1764	AN1764	ORF|Uncharacterized	ASPL0000045616	Ortholog of A. fumigatus Af293 : Afu6g09130, A. niger CBS 513.88 : An11g06880, Aspergillus wentii : Aspwe1_0176961, Aspergillus sydowii : Aspsy1_0053700 and Aspergillus terreus NIH2624 : ATET_06671	AN1764.2	2875181
AN1765	AN1765	ORF|Uncharacterized	ASPL0000051095	Ortholog of A. fumigatus Af293 : Afu6g09120, A. oryzae RIB40 : AO090001000589, Neosartorya fischeri NRRL 181 : NFIA_054800 and Aspergillus wentii : Aspwe1_0705131	AN1765.2	2874723
AN1766	AN1766	ORF|Uncharacterized	ASPL0000046626	Ortholog(s) have L-asparagine transmembrane transporter activity, L-isoleucine transmembrane transporter activity, L-lysine transmembrane transporter activity	AN1766.2	2875184
AN1767	AN1767	ORF|Uncharacterized	ASPL0000041895	Has domain(s) with predicted catalytic activity	AN1767.2	2875129
AN1769	AN1769	ORF|Verified	ASPL0000042820	Putative 3'-5' bisphosphate nucleotidase with a predicted role in cysteine metabolism; protein expressed at increased levels during osmoadaptation	AN1769.2	2875182
AN1770	AN1770	ORF|Uncharacterized	ASPL0000044544	Ortholog(s) have structural constituent of ribosome activity and mitochondrial large ribosomal subunit, mitochondrial ribosome localization	AN1770.2	2875587
AN1771	AN1771	ORF|Uncharacterized	ASPL0000050028	Ortholog(s) have role in karyogamy involved in conjugation with cellular fusion and endoplasmic reticulum membrane localization	AN1771.2	2875589
AN1772	AN1772	ORF|Verified	ASPL0000045610	Type B feruloyl esterase	AN1772.2	2875588
AN1773	AN1773	ORF|Uncharacterized	ASPL0000051081	Ortholog of A. fumigatus Af293 : Afu6g09030, A. niger CBS 513.88 : An11g06790, A. oryzae RIB40 : AO090001000581, Aspergillus wentii : Aspwe1_0121600 and Aspergillus sydowii : Aspsy1_0038822	AN1773.2	2874757
AN1774	AN1774	ORF|Uncharacterized	ASPL0000046618	Ortholog of Aspergillus versicolor : Aspve1_0090039 and Aspergillus sydowii : Aspsy1_1165308	AN1774.2	2874760
AN1775	AN1775	ORF|Uncharacterized	ASPL0000041881	Ortholog(s) have GPI-anchor transamidase activity	AN1775.2	2875183
AN1776	AN1776	ORF|Uncharacterized	ASPL0000047484	Ortholog(s) have mRNA binding activity, role in mRNA splice site selection and U1 snRNP, U2-type prespliceosome, cytosol, nucleus localization	AN1776.2	2875590
AN1777	AN1777	ORF|Uncharacterized	ASPL0000042794	Has domain(s) with predicted zinc ion binding activity, role in transcription, DNA-templated and nucleus localization	AN1777.2	2875165
AN1778	pantoB	ORF|Verified	ASPL0000048463	Putative ketopentoate hydroxymethyl transferase with a predicted role in Coenzyme A and pantothenate biosynthesis	AN1778.2	2874758
AN1779	nimO	ORF|Verified	ASPL0000043874	Essential protein kinase required for DNA synthesis and mitotic checkpoint control; this locus is reported to contain an upstream open reading frame (uORF)	AN1779.2	2874759
AN1780	AN1780	ORF|Uncharacterized	ASPL0000045570	Ortholog(s) have aminopeptidase activity, role in protein processing, protein stabilization and extrinsic component of mitochondrial inner membrane, mitochondrion, nucleus localization	AN1780.2	2875167
AN1781	AN1781	ORF|Uncharacterized	ASPL0000051073	Has domain(s) with predicted FMN binding, oxidoreductase activity and role in oxidation-reduction process	AN1781.2	2875008
AN1782	AN1782	ORF|Uncharacterized	ASPL0000046606	Has domain(s) with predicted NAD+ binding activity	AN1782.2	2875009
AN1784	AN1784	ORF|Uncharacterized	ASPL0000047478	Putative polyketide synthase; predicted secondary metabolism gene cluster member	AN1784.2	2875011
AN1785	AN1785	ORF|Uncharacterized	ASPL0000042770	Protein of unknown function; predicted secondary metabolism gene cluster member; coregulated with the PKS AN1784	AN1785.2	2875013
AN1786	AN1786	ORF|Uncharacterized	ASPL0000048451	Predicted monooxygenase; predicted secondary metabolism gene cluster member; coregulated with the PKS AN1784	AN1786.2	2875010
AN1787	AN1787	ORF|Uncharacterized	ASPL0000043852	Predicted UDP-N-acetylmuramate dehydrogenase; predicted secondary metabolism gene cluster member; coregulated with the PKS AN1784	AN1787.2	2875166
AN1788	AN1788	ORF|Uncharacterized	ASPL0000049367	Has domain(s) with predicted metal ion transmembrane transporter activity, role in metal ion transport, transmembrane transport and membrane localization	AN1788.2	2875012
AN1789	ffkD	ORF|Uncharacterized	ASPL0000044853	Has domain(s) with predicted ATP binding, protein kinase activity and role in protein phosphorylation	AN1789.2	2874807
AN1790	AN1790	ORF|Uncharacterized	ASPL0000046596	Protein of unknown function	AN1790.2	2874810
AN1791	AN1791	ORF|Uncharacterized	ASPL0000041835	Protein of unknown function; transcript is induced by nitrate	AN1791.2	2874806
AN1792	AN1792	ORF|Uncharacterized	ASPL0000047466	Has domain(s) with predicted hydrolase activity, hydrolase activity, acting on ester bonds activity and role in lipid metabolic process	AN1792.2	2875294
AN1793	AN1793	ORF|Uncharacterized	ASPL0000042760	Has domain(s) with predicted magnesium ion binding, terpene synthase activity	AN1793.2	2874809
AN1794	CYP682D1	ORF|Uncharacterized	ASPL0000048441	Putative cytochrome P450; expression reduced after exposure to farnesol	AN1794.2	2875296
AN1795	AN1795	ORF|Uncharacterized	ASPL0000043830	Ortholog(s) have cobalt ion transmembrane transporter activity, zinc ion transmembrane transporter activity	AN1795.2	2875295
