geneId	position	strand	description
B9J08_001443	scaffold00005:823917-827606	+	hypothetical protein
B9J08_001444	scaffold00005:827716-828075	-	hypothetical protein
B9J08_001445	scaffold00005:828189-829643	-	hypothetical protein
B9J08_001446	scaffold00005:829788-831215	-	hypothetical protein
B9J08_001447	scaffold00005:831527-832582	-	homoserine kinase
B9J08_001448	scaffold00005:832733-834307	-	lanosterol 14-alpha demethylase
B9J08_001449	scaffold00005:835013-836083	-	hypothetical protein
B9J08_001450	scaffold00005:837635-839917	-	hypothetical protein
B9J08_001451	scaffold00005:841925-843226	+	hypothetical protein
B9J08_001452	scaffold00005:844401-845882	+	hypothetical protein
B9J08_001453	scaffold00005:845925-847559	-	Poly(A) polymerase PAPa
B9J08_001454	scaffold00005:847786-849075	+	hypothetical protein
B9J08_001455	scaffold00005:849738-852365	+	hypothetical protein
B9J08_001456	scaffold00005:853714-856101	-	hypothetical protein
B9J08_001457	scaffold00005:856911-859346	+	hypothetical protein
B9J08_001458	scaffold00005:864995-867292	+	hypothetical protein
B9J08_001459	scaffold00005:867969-869510	+	hypothetical protein
B9J08_001460	scaffold00005:869614-870102	-	hypothetical protein
B9J08_001461	scaffold00005:870758-872383	+	T-complex protein 1 subunit eta
B9J08_001462	scaffold00005:873868-875244	+	hypothetical protein
B9J08_001463	scaffold00005:876857-882526	+	hypothetical protein
B9J08_001464	scaffold00005:883606-885267	+	phosphate:H+ symporter
B9J08_001465	scaffold00005:886804-887514	+	hypothetical protein
B9J08_001466	scaffold00005:887739-888365	-	hypothetical protein
B9J08_001467	scaffold00005:889060-890208	-	S-adenosylmethionine synthase
B9J08_001468	scaffold00005:891680-893332	-	hypothetical protein
B9J08_001469	scaffold00005:896140-899355	+	hypothetical protein
B9J08_001470	scaffold00005:899376-900950	-	hypothetical protein
B9J08_001471	scaffold00005:902022-903173	-	KRR1 small subunit processome component
B9J08_001472	scaffold00005:903312-903611	+	hypothetical protein
B9J08_001473	scaffold00005:904291-905547	+	hypothetical protein
B9J08_001474	scaffold00005:906316-907707	+	hypothetical protein
B9J08_001475	scaffold00005:907769-910495	-	hypothetical protein
B9J08_001476	scaffold00005:910912-914232	-	hypothetical protein
B9J08_001477	scaffold00005:914781-915368	-	hypothetical protein
B9J08_001478	scaffold00005:915842-916546	-	riboflavin synthase%2C alpha subunit
B9J08_001479	scaffold00005:916869-918298	-	hypothetical protein
B9J08_001480	scaffold00005:919110-921119	-	hypothetical protein
B9J08_001481	scaffold00005:923903-924739	-	hypothetical protein
B9J08_001482	scaffold00005:927170-928238	-	hypothetical protein
B9J08_001483	scaffold00005:929672-932008	-	hypothetical protein
B9J08_001484	scaffold00005:933427-934677	-	3-ketoacyl-CoA thiolase B%2C peroxisomal
B9J08_001485	scaffold00005:936327-936752	-	hypothetical protein
B9J08_001486	scaffold00005:937127-938410	-	hypothetical protein
B9J08_001487	scaffold00005:938977-940998	-	hypothetical protein
B9J08_001488	scaffold00005:944390-944461	-	tRNA-Met
B9J08_001489	scaffold00005:944802-946187	-	hypothetical protein
B9J08_001490	scaffold00005:947837-949579	+	hypothetical protein
B9J08_001491	scaffold00005:949785-950690	+	hypothetical protein
B9J08_001492	scaffold00005:950712-953468	-	hypothetical protein
B9J08_001493	scaffold00005:953653-956334	-	hypothetical protein
B9J08_001494	scaffold00005:956680-958986	-	hypothetical protein
B9J08_001495	scaffold00005:959304-959639	+	hypothetical protein
B9J08_001496	scaffold00005:959675-961693	-	hypothetical protein
B9J08_001497	scaffold00005:962109-963101	-	hypothetical protein
B9J08_001498	scaffold00005:963240-967190	-	hypothetical protein
B9J08_001499	scaffold00005:967644-969686	-	hypothetical protein
B9J08_001500	scaffold00005:973310-973552	+	hypothetical protein
B9J08_001501	scaffold00005:973618-976326	+	hypothetical protein
B9J08_001502	scaffold00005:976342-978105	-	hypothetical protein
B9J08_001503	scaffold00005:978266-979401	-	uroporphyrinogen decarboxylase
B9J08_001504	scaffold00005:980395-980467	+	tRNA-Arg
B9J08_001505	scaffold00005:980475-980547	+	tRNA-Phe
B9J08_001506	scaffold00005:980629-983652	-	hypothetical protein
B9J08_001507	scaffold00005:984501-985963	+	hypothetical protein
B9J08_001508	scaffold00005:986027-987478	-	hypothetical protein
B9J08_001509	scaffold00005:988773-989483	+	hypothetical protein
B9J08_001510	scaffold00005:989493-990916	-	hypothetical protein
B9J08_001511	scaffold00005:993606-995591	+	hypothetical protein
B9J08_001512	scaffold00005:996489-998705	+	hypothetical protein
B9J08_001513	scaffold00005:999220-999786	+	hypothetical protein
B9J08_001514	scaffold00005:1001060-1001470	+	hypothetical protein
B9J08_001515	scaffold00005:1001759-1003354	-	hypothetical protein
B9J08_001516	scaffold00005:1006478-1008742	+	hypothetical protein
B9J08_001517	scaffold00005:1009684-1012119	+	hypothetical protein
B9J08_001518	scaffold00005:1013138-1014322	+	hypothetical protein
B9J08_001519	scaffold00005:1014399-1016426	-	hypothetical protein
B9J08_001520	scaffold00005:1017821-1018702	-	hypothetical protein
B9J08_001521	scaffold00005:1021142-1023205	+	hypothetical protein
B9J08_001522	scaffold00005:1024830-1026134	+	hypothetical protein
B9J08_001523	scaffold00005:1027743-1029186	+	hypothetical protein
B9J08_001524	scaffold00005:1029202-1030854	-	hypothetical protein
B9J08_001525	scaffold00005:1031729-1033171	+	hypothetical protein
B9J08_001526	scaffold00005:1033816-1035408	-	hypothetical protein
B9J08_001527	scaffold00005:1036357-1037940	-	hypothetical protein
B9J08_001528	scaffold00005:1039436-1041019	-	hypothetical protein
B9J08_001529	scaffold00005:1041852-1044254	-	hypothetical protein
B9J08_001530	scaffold00008:1004-2731	-	hypothetical protein
B9J08_001531	scaffold00008:6638-10765	+	hypothetical protein
B9J08_001532	scaffold00008:11183-13555	+	hypothetical protein
B9J08_001533	scaffold00008:13692-15230	-	hypothetical protein
B9J08_001534	scaffold00008:16201-17385	-	hypothetical protein
B9J08_001535	scaffold00008:18275-19468	-	hypothetical protein
B9J08_001536	scaffold00008:20112-21554	+	hypothetical protein
B9J08_001537	scaffold00008:22174-23616	+	hypothetical protein
B9J08_001538	scaffold00008:23839-24726	-	hypothetical protein
B9J08_001539	scaffold00008:25376-27670	+	hypothetical protein
B9J08_001540	scaffold00008:27878-28768	+	dihydrodipicolinate synthase
B9J08_001541	scaffold00008:30017-31447	+	hypothetical protein
B9J08_001542	scaffold00008:31812-33842	-	hypothetical protein
B9J08_001543	scaffold00008:35802-36701	+	diphthine synthase
B9J08_001544	scaffold00008:36738-37913	-	hypothetical protein
B9J08_001545	scaffold00008:39201-40064	+	hypothetical protein
B9J08_001546	scaffold00008:40177-41355	-	hypothetical protein
B9J08_001547	scaffold00008:42293-43891	-	hypothetical protein
B9J08_001548	scaffold00008:43908-44318	-	hypothetical protein
B9J08_001549	scaffold00008:46628-47086	-	hypothetical protein
B9J08_001550	scaffold00008:47960-49813	-	hypothetical protein
B9J08_001551	scaffold00008:50557-51006	-	hypothetical protein
B9J08_001552	scaffold00008:51612-52988	-	hypothetical protein
B9J08_001553	scaffold00008:53399-54454	-	hypothetical protein
B9J08_001554	scaffold00008:54583-55596	+	hypothetical protein
B9J08_001555	scaffold00008:56723-59083	+	hypothetical protein
B9J08_001556	scaffold00008:59227-59946	+	hypothetical protein
B9J08_001557	scaffold00008:60173-64498	+	transcription elongation factor SPT6
B9J08_001558	scaffold00008:64573-65850	-	hypothetical protein
B9J08_001559	scaffold00008:66153-69026	-	hypothetical protein
B9J08_001560	scaffold00008:70477-71799	-	hypothetical protein
B9J08_001561	scaffold00008:71944-74349	-	translation initiation factor IF-2
B9J08_001562	scaffold00008:74598-76319	-	hypothetical protein
B9J08_001563	scaffold00008:77690-78103	+	hypothetical protein
B9J08_001564	scaffold00008:78494-79210	-	hypothetical protein
B9J08_001565	scaffold00008:81321-84677	+	hypothetical protein
B9J08_001566	scaffold00008:85799-89404	+	hypothetical protein
B9J08_001567	scaffold00008:90467-92098	+	hypothetical protein
B9J08_001568	scaffold00008:92465-92893	+	hypothetical protein
B9J08_001569	scaffold00008:94432-94992	+	hypothetical protein
B9J08_001570	scaffold00008:96245-97402	+	hypothetical protein
B9J08_001571	scaffold00008:97726-98883	+	hypothetical protein
B9J08_001572	scaffold00008:99036-103060	-	hypothetical protein
B9J08_001573	scaffold00008:104829-105419	+	H/ACA ribonucleoprotein complex subunit 1
B9J08_001574	scaffold00008:105545-106690	-	hypothetical protein
B9J08_001575	scaffold00008:107027-107519	+	hypothetical protein
B9J08_001576	scaffold00008:108583-113655	+	hypothetical protein
B9J08_001577	scaffold00008:113787-114434	+	hypothetical protein
B9J08_001578	scaffold00008:114474-115997	-	homoserine O-acetyltransferase
B9J08_001579	scaffold00008:117358-118140	+	hypothetical protein
B9J08_001580	scaffold00008:118253-119296	-	hypothetical protein
B9J08_001581	scaffold00008:120113-123451	-	hypothetical protein
B9J08_001582	scaffold00008:125670-126578	+	hypothetical protein
B9J08_001584	scaffold00008:129591-129941	-	hypothetical protein
B9J08_001585	scaffold00008:130783-133770	-	hypothetical protein
B9J08_001586	scaffold00008:134117-136543	-	hypothetical protein
B9J08_001587	scaffold00008:136678-138465	+	hypothetical protein
B9J08_001588	scaffold00008:138961-140529	+	hypothetical protein
B9J08_001589	scaffold00008:141224-142228	+	hypothetical protein
B9J08_001590	scaffold00008:142261-143094	-	hypothetical protein
B9J08_001591	scaffold00008:143511-145214	-	glutamate decarboxylase
B9J08_001592	scaffold00008:147373-148392	+	GDP-mannose transporter
B9J08_001593	scaffold00008:148613-151573	+	hypothetical protein
B9J08_001594	scaffold00008:151834-152553	-	transcriptional activator HAP2
B9J08_001595	scaffold00008:153007-153690	-	hypothetical protein
B9J08_001596	scaffold00008:154168-156804	+	hypothetical protein
B9J08_001597	scaffold00008:156820-157713	-	hypothetical protein
B9J08_001598	scaffold00008:158031-159842	+	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
B9J08_001599	scaffold00008:159883-161754	-	hypothetical protein
B9J08_001600	scaffold00008:163503-164648	+	hypothetical protein
B9J08_001601	scaffold00008:164652-165395	-	hypothetical protein
B9J08_001602	scaffold00008:165514-166259	+	nicotinate-nucleotide diphosphorylase (carboxylating)
B9J08_001603	scaffold00008:166414-167457	-	hypothetical protein
B9J08_001604	scaffold00008:167613-169106	-	hypothetical protein
B9J08_001605	scaffold00008:169588-171849	-	hypothetical protein
B9J08_001606	scaffold00008:172594-174969	-	phosphoribosylamine-glycine ligase
B9J08_001607	scaffold00008:176048-177148	-	hypothetical protein
B9J08_001608	scaffold00008:177891-179774	-	hypothetical protein
B9J08_001609	scaffold00008:180074-180910	-	hypothetical protein
B9J08_001610	scaffold00008:181020-181649	+	hypothetical protein
B9J08_001611	scaffold00008:181700-185194	-	hypothetical protein
B9J08_001612	scaffold00008:185785-188232	-	hypothetical protein
B9J08_001613	scaffold00008:188702-189706	-	5'/3'-nucleotidase SurE
B9J08_001614	scaffold00008:191504-192508	-	5'/3'-nucleotidase SurE
B9J08_001615	scaffold00008:193962-195176	+	hypothetical protein
B9J08_001616	scaffold00008:195355-195849	+	hypothetical protein
B9J08_001617	scaffold00008:196174-197310	+	hypothetical protein
B9J08_001618	scaffold00008:197386-198810	-	hypothetical protein
B9J08_001619	scaffold00008:199907-202252	+	hypothetical protein
B9J08_001620	scaffold00008:202417-204037	-	hypothetical protein
B9J08_001621	scaffold00008:204236-205630	+	hypothetical protein
B9J08_001622	scaffold00008:206108-207124	+	hypothetical protein
B9J08_001623	scaffold00008:207249-210275	+	hypothetical protein
B9J08_001624	scaffold00008:210310-213552	-	isoleucine-tRNA ligase
B9J08_001625	scaffold00008:214170-215582	+	tRNA(Ile)-lysidine synthetase
B9J08_001626	scaffold00008:215889-220583	+	hypothetical protein
B9J08_001627	scaffold00008:220703-222838	+	hypothetical protein
B9J08_001628	scaffold00008:223194-223278	+	tRNA-Leu
B9J08_001629	scaffold00008:223469-223541	+	tRNA-Lys
B9J08_001630	scaffold00008:223969-224334	+	hypothetical protein
B9J08_001631	scaffold00008:224474-225967	+	hypothetical protein
B9J08_001632	scaffold00008:226019-228175	-	hypothetical protein
B9J08_001633	scaffold00008:228537-229574	+	hypothetical protein
B9J08_001634	scaffold00008:229599-230978	-	hypothetical protein
B9J08_001635	scaffold00008:231272-232660	+	hypothetical protein
B9J08_001636	scaffold00008:232687-233508	-	hypothetical protein
B9J08_001637	scaffold00008:233649-234518	-	hypothetical protein
B9J08_001638	scaffold00008:234807-235448	+	hypothetical protein
B9J08_001639	scaffold00008:235548-235991	+	hypothetical protein
B9J08_001640	scaffold00008:236051-236941	-	hypothetical protein
B9J08_001641	scaffold00008:237140-238015	-	hypothetical protein
B9J08_001642	scaffold00008:238385-240490	-	hypothetical protein
B9J08_001643	scaffold00008:241996-245110	+	hypothetical protein
B9J08_001644	scaffold00008:245190-247031	-	hypothetical protein
B9J08_001645	scaffold00008:247351-248565	-	cystathionine beta-lyase
B9J08_001646	scaffold00008:248997-249728	-	hypothetical protein
B9J08_001647	scaffold00008:251135-252859	+	hypothetical protein
B9J08_001648	scaffold00008:253236-254708	+	hypothetical protein
B9J08_001649	scaffold00008:254843-257773	+	hypothetical protein
B9J08_001650	scaffold00008:257815-258429	-	hypothetical protein
B9J08_001651	scaffold00008:258679-259566	+	hypothetical protein
B9J08_001652	scaffold00008:259829-260527	-	Fe-S protein assembly co-chaperone HscB
B9J08_001653	scaffold00008:261770-264013	+	protein transporter SEC23
B9J08_001654	scaffold00008:264231-265318	+	hypothetical protein
B9J08_001655	scaffold00008:265321-267255	-	hypothetical protein
B9J08_001656	scaffold00008:267641-269083	-	hypothetical protein
B9J08_001657	scaffold00008:269310-270326	-	hypothetical protein
B9J08_001658	scaffold00008:270420-273902	-	hypothetical protein
B9J08_001659	scaffold00008:275505-275978	+	hypothetical protein
B9J08_001660	scaffold00008:277115-279103	+	hypothetical protein
B9J08_001661	scaffold00008:279279-279350	+	tRNA-Asp
B9J08_001662	scaffold00008:279363-279433	+	tRNA-Gly
B9J08_001663	scaffold00008:279683-280500	+	hypothetical protein
B9J08_001664	scaffold00008:281160-283223	+	hypothetical protein
B9J08_001665	scaffold00008:283704-286148	+	hypothetical protein
B9J08_001666	scaffold00008:286344-287909	+	hypothetical protein
B9J08_001667	scaffold00008:288023-290014	+	hypothetical protein
B9J08_001668	scaffold00008:290108-291076	+	hypothetical protein
B9J08_001669	scaffold00008:291142-293292	-	hypothetical protein
B9J08_001670	scaffold00008:294955-295707	+	methylthioribulose-1-phosphate dehydratase
B9J08_001671	scaffold00008:295772-296111	-	hypothetical protein
B9J08_001672	scaffold00008:297326-299053	+	hypothetical protein
B9J08_001673	scaffold00008:299244-301004	-	hypothetical protein
B9J08_001674	scaffold00008:302609-304204	-	nucleolar protein 58
B9J08_001675	scaffold00008:305674-309870	+	hypothetical protein
B9J08_001676	scaffold00008:310288-312681	-	hypothetical protein
B9J08_001677	scaffold00008:314617-317484	+	hypothetical protein
B9J08_001678	scaffold00008:318313-320193	-	hypothetical protein
B9J08_001679	scaffold00008:322812-325364	-	hypothetical protein
B9J08_001680	scaffold00008:327170-327526	+	hypothetical protein
B9J08_001681	scaffold00008:327639-329828	-	hypothetical protein
B9J08_001682	scaffold00008:330527-332167	+	hypothetical protein
B9J08_001683	scaffold00008:332268-333278	-	hypothetical protein
B9J08_001684	scaffold00008:334136-335179	+	S-methyl-5'-thioadenosine phosphorylase
B9J08_001685	scaffold00008:336243-337043	+	hypothetical protein
B9J08_001686	scaffold00008:337544-338715	+	40S ribosomal protein S4
B9J08_001687	scaffold00008:339029-340459	+	hypothetical protein
B9J08_001688	scaffold00008:340638-341645	+	hypothetical protein
B9J08_001689	scaffold00008:342146-343786	+	hypothetical protein
B9J08_001690	scaffold00008:343822-344253	-	hypothetical protein
B9J08_001691	scaffold00008:344346-345503	+	hypothetical protein
B9J08_001692	scaffold00008:345545-346925	-	hypothetical protein
B9J08_001693	scaffold00008:347044-353718	-	DNA polymerase epsilon catalytic subunit A
B9J08_001694	scaffold00008:353920-355002	-	hypothetical protein
B9J08_001695	scaffold00008:356485-357936	+	alpha%2Calpha-trehalose-phosphate synthase [UDP-forming]
B9J08_001696	scaffold00008:358012-359445	-	hypothetical protein
B9J08_001697	scaffold00008:359998-361002	-	hypothetical protein
B9J08_001698	scaffold00008:361606-362634	+	hypothetical protein
B9J08_001699	scaffold00008:362776-363924	+	hypothetical protein
B9J08_001700	scaffold00008:364124-366154	+	hypothetical protein
B9J08_001701	scaffold00008:366378-367904	+	V-type proton ATPase subunit B
B9J08_001702	scaffold00008:368093-370525	-	homocitrate dehydratase%2C mitochondrial
B9J08_001703	scaffold00008:371153-375322	-	hypothetical protein
B9J08_001704	scaffold00008:376303-379461	+	hypothetical protein
B9J08_001705	scaffold00008:379490-380995	-	hypothetical protein
B9J08_001706	scaffold00008:381265-383076	+	hypothetical protein
B9J08_001707	scaffold00008:383203-386025	-	hypothetical protein
B9J08_001708	scaffold00008:386831-387652	-	hypothetical protein
B9J08_001709	scaffold00008:389896-391398	+	hypothetical protein
B9J08_001710	scaffold00008:391652-393709	+	hypothetical protein
B9J08_001711	scaffold00008:393713-394684	-	hypothetical protein
B9J08_001712	scaffold00008:395034-396842	+	hypothetical protein
B9J08_001713	scaffold00008:396863-398410	-	hypothetical protein
B9J08_001714	scaffold00008:400081-400431	+	hypothetical protein
B9J08_001715	scaffold00008:400450-402138	-	uridine kinase
B9J08_001716	scaffold00008:402228-404888	+	hypothetical protein
B9J08_001717	scaffold00008:404908-405699	-	hypothetical protein
B9J08_001718	scaffold00008:406801-408204	+	hypothetical protein
B9J08_001719	scaffold00008:408372-408947	-	hypothetical protein
B9J08_001720	scaffold00008:409146-411041	-	hypothetical protein
B9J08_001721	scaffold00008:412177-412665	+	hypothetical protein
B9J08_001722	scaffold00008:412727-413438	-	hypothetical protein
B9J08_001723	scaffold00008:413650-414297	-	peptidyl-tRNA hydrolase
B9J08_001724	scaffold00008:414401-416677	-	hypothetical protein
B9J08_001725	scaffold00008:417503-417892	-	hypothetical protein
B9J08_001726	scaffold00008:418317-420584	+	hypothetical protein
B9J08_001727	scaffold00008:420763-422484	+	hypothetical protein
B9J08_001728	scaffold00008:422647-423693	+	hypothetical protein
B9J08_001729	scaffold00008:424756-426582	+	hypothetical protein
B9J08_001730	scaffold00008:426880-432657	+	hypothetical protein
B9J08_001731	scaffold00008:432680-434503	-	hypothetical protein
B9J08_001732	scaffold00008:434936-435460	-	calcineurin subunit B
B9J08_001733	scaffold00008:435708-436520	-	hypothetical protein
B9J08_001734	scaffold00008:436684-440859	-	hypothetical protein
B9J08_001735	scaffold00008:441614-442732	+	hypothetical protein
B9J08_001736	scaffold00008:442849-443361	+	hypothetical protein
B9J08_001737	scaffold00008:443692-445305	+	hypothetical protein
B9J08_001738	scaffold00008:445823-448135	+	hypothetical protein
B9J08_001739	scaffold00008:448183-449421	-	hypothetical protein
B9J08_001740	scaffold00008:451115-453241	+	hypothetical protein
B9J08_001741	scaffold00008:453945-456059	+	hypothetical protein
B9J08_001742	scaffold00008:457458-458978	+	hypothetical protein
B9J08_001743	scaffold00008:459553-461798	+	hypothetical protein
B9J08_001744	scaffold00008:462088-463140	+	hypothetical protein
B9J08_001745	scaffold00008:463201-465027	-	hypothetical protein
B9J08_001746	scaffold00008:465586-466380	-	hypothetical protein
B9J08_001747	scaffold00008:466741-468495	-	hypothetical protein
B9J08_001748	scaffold00008:474415-476568	+	hypothetical protein
B9J08_001749	scaffold00008:476693-477472	-	hypothetical protein
B9J08_001750	scaffold00008:477876-478277	+	hypothetical protein
B9J08_001751	scaffold00008:478459-478818	+	hypothetical protein
B9J08_001752	scaffold00008:479047-480288	+	hypothetical protein
B9J08_001753	scaffold00008:480793-481833	+	hypothetical protein
B9J08_001754	scaffold00008:482133-485954	+	hypothetical protein
B9J08_001755	scaffold00008:486266-486523	+	hypothetical protein
B9J08_001756	scaffold00008:489100-491139	-	homoaconitase%2C mitochondrial
B9J08_001757	scaffold00008:492141-492956	+	hypothetical protein
B9J08_001758	scaffold00008:493683-497360	+	hypothetical protein
B9J08_001759	scaffold00008:497784-498920	+	hypothetical protein
B9J08_001760	scaffold00008:499048-500073	-	hypothetical protein
B9J08_001761	scaffold00008:500443-501102	+	orotate phosphoribosyltransferase
B9J08_001762	scaffold00008:501140-501940	-	hypothetical protein
B9J08_001763	scaffold00008:502694-504109	+	hypothetical protein
B9J08_001764	scaffold00008:504206-506437	-	hypothetical protein
B9J08_001765	scaffold00008:507175-510453	-	leucine-tRNA ligase
B9J08_001766	scaffold00008:510677-513391	-	hypothetical protein
B9J08_001767	scaffold00008:513501-514214	+	hypothetical protein
B9J08_001768	scaffold00008:514393-517611	+	hypothetical protein
B9J08_001769	scaffold00008:517652-522706	-	hypothetical protein
B9J08_001770	scaffold00008:523030-524538	-	hypothetical protein
B9J08_001771	scaffold00008:524891-525672	-	hypothetical protein
B9J08_001772	scaffold00008:525994-526956	-	ribose-phosphate pyrophosphokinase 1
B9J08_001773	scaffold00008:527217-528899	-	hypothetical protein
B9J08_001774	scaffold00008:529597-533793	+	hypothetical protein
B9J08_001775	scaffold00008:534909-535679	+	hypothetical protein
B9J08_001776	scaffold00008:536227-536574	+	vacuolar transporter chaperone 1
B9J08_001777	scaffold00008:536743-537033	-	hypothetical protein
B9J08_001778	scaffold00008:537533-539113	+	hypothetical protein
B9J08_001779	scaffold00008:539748-542255	+	hypothetical protein
B9J08_001780	scaffold00008:542485-544971	+	hypothetical protein
B9J08_001781	scaffold00008:544978-545619	-	hypothetical protein
B9J08_001782	scaffold00008:545793-546713	-	hypothetical protein
B9J08_001783	scaffold00008:547357-550248	+	hypothetical protein
B9J08_001784	scaffold00008:550362-550949	-	V-type proton ATPase subunit C''
B9J08_001785	scaffold00008:551127-552392	-	hypothetical protein
B9J08_001786	scaffold00008:552668-555163	+	hypothetical protein
B9J08_001787	scaffold00008:558281-560842	+	hypothetical protein
B9J08_001788	scaffold00008:560956-562863	-	hypothetical protein
B9J08_001789	scaffold00008:563058-564032	-	hypothetical protein
B9J08_001790	scaffold00008:564327-565754	-	hypothetical protein
B9J08_001791	scaffold00008:566056-567273	-	hypothetical protein
B9J08_001792	scaffold00008:567692-568009	+	hypothetical protein
B9J08_001793	scaffold00008:568791-570446	-	hypothetical protein
B9J08_001794	scaffold00008:570887-570968	+	tRNA-Ser
B9J08_001795	scaffold00008:571044-572144	+	hypothetical protein
B9J08_001796	scaffold00008:572639-575179	-	hypothetical protein
B9J08_001797	scaffold00008:575445-576965	+	tyrosine-tRNA ligase
B9J08_001798	scaffold00008:577064-578164	-	3'(2')%2C5'-bisphosphate nucleotidase 2
B9J08_001799	scaffold00008:578442-580391	-	hypothetical protein
B9J08_001800	scaffold00008:582317-583918	+	hypothetical protein
B9J08_001801	scaffold00008:584302-585714	+	hypothetical protein
B9J08_001802	scaffold00008:585869-586963	-	hypothetical protein
B9J08_001803	scaffold00008:587698-588642	-	rRNA 2'-O-methyltransferase fibrillarin
B9J08_001804	scaffold00008:589405-590547	+	hypothetical protein
B9J08_001805	scaffold00008:590820-591314	+	hypothetical protein
B9J08_001806	scaffold00008:591904-594621	+	hypothetical protein
B9J08_001807	scaffold00008:594676-595767	-	hypothetical protein
B9J08_001808	scaffold00008:596105-598102	-	hypothetical protein
B9J08_001809	scaffold00008:598312-599145	-	hypothetical protein
B9J08_001810	scaffold00008:599728-603564	-	hypothetical protein
B9J08_001811	scaffold00008:603913-605889	-	hypothetical protein
B9J08_001812	scaffold00008:606485-607591	-	hypothetical protein
B9J08_001813	scaffold00008:608436-611580	+	hypothetical protein
B9J08_001814	scaffold00008:611637-612125	-	hypothetical protein
B9J08_001815	scaffold00008:612869-614488	+	hypothetical protein
B9J08_001816	scaffold00008:614856-615740	+	hypothetical protein
B9J08_001817	scaffold00008:616152-617990	+	hypothetical protein
B9J08_001818	scaffold00008:618045-618716	-	hypothetical protein
B9J08_001819	scaffold00008:618835-621126	+	hypothetical protein
B9J08_001820	scaffold00008:621170-621454	-	hypothetical protein
B9J08_001821	scaffold00008:621913-622296	-	acyl carrier protein
B9J08_001822	scaffold00008:622608-623141	+	ribosomal protein S12
B9J08_001823	scaffold00008:623254-624270	-	hypothetical protein
B9J08_001824	scaffold00008:624855-626462	-	hypothetical protein
B9J08_001825	scaffold00008:628426-633030	+	hypothetical protein
B9J08_001826	scaffold00008:633964-634767	-	transcriptional activator hac1
B9J08_001827	scaffold00008:636697-637662	+	pyridoxal kinase
B9J08_001828	scaffold00008:637796-638866	+	hypothetical protein
B9J08_001829	scaffold00008:638870-640852	-	hypothetical protein
B9J08_001830	scaffold00008:641139-642863	-	hypothetical protein
B9J08_001831	scaffold00008:643719-644777	+	hypothetical protein
B9J08_001832	scaffold00008:644992-647835	-	hypothetical protein
B9J08_001833	scaffold00008:649505-652426	+	hypothetical protein
B9J08_001834	scaffold00008:652526-654571	-	hypothetical protein
B9J08_001835	scaffold00008:655521-656720	-	hypothetical protein
B9J08_001836	scaffold00008:656892-657983	+	hypothetical protein
B9J08_001837	scaffold00008:658118-658852	+	hypothetical protein
B9J08_001838	scaffold00008:658871-660826	-	hypothetical protein
B9J08_001839	scaffold00008:661059-661753	-	hypothetical protein
B9J08_001840	scaffold00008:662274-662972	+	hypothetical protein
B9J08_001841	scaffold00008:663081-664487	-	hypothetical protein
B9J08_001842	scaffold00008:664709-665998	+	26S protease subunit RPT4
B9J08_001843	scaffold00008:666069-667825	-	cell division control protein 31
B9J08_001844	scaffold00008:667988-670612	+	hypothetical protein
B9J08_001845	scaffold00008:670629-671603	-	hypothetical protein
B9J08_001846	scaffold00008:672220-673854	-	hypothetical protein
B9J08_001847	scaffold00008:674176-674610	-	hypothetical protein
B9J08_001848	scaffold00008:675299-675823	+	hypothetical protein
B9J08_001849	scaffold00008:675871-677895	-	hypothetical protein
B9J08_001850	scaffold00008:678239-680008	-	bifunctional purine biosynthesis protein ADE17
B9J08_001851	scaffold00008:680768-681382	-	60S ribosomal protein L15-A
B9J08_001852	scaffold00008:683889-684896	+	hypothetical protein
B9J08_001853	scaffold00008:684975-685670	-	hypothetical protein
B9J08_001854	scaffold00008:687440-689323	+	hypothetical protein
B9J08_001855	scaffold00008:689962-690900	-	hypothetical protein
B9J08_001856	scaffold00008:691805-692527	+	hypothetical protein
B9J08_001857	scaffold00008:692577-695894	-	hypothetical protein
B9J08_001858	scaffold00008:696466-697980	+	hypothetical protein
B9J08_001859	scaffold00008:698079-698939	-	hypothetical protein
B9J08_001860	scaffold00008:699732-700982	+	phosphoglycerate kinase
B9J08_001861	scaffold00008:701060-703018	-	hypothetical protein
B9J08_001862	scaffold00008:703819-705267	-	hypothetical protein
B9J08_001863	scaffold00008:705793-707226	+	hypothetical protein
B9J08_001864	scaffold00008:707287-709335	-	hypothetical protein
B9J08_001865	scaffold00008:710391-711179	+	hypothetical protein
B9J08_001866	scaffold00008:711259-712794	-	hypothetical protein
B9J08_001867	scaffold00008:713137-713607	+	hypothetical protein
B9J08_001868	scaffold00008:713715-715434	-	hypothetical protein
B9J08_001869	scaffold00008:715697-716263	+	hypothetical protein
B9J08_001870	scaffold00008:716767-717622	+	40S ribosomal protein S13
B9J08_001871	scaffold00008:717764-718222	-	eukaryotic translation initiation factor 1A
B9J08_001872	scaffold00008:718652-719644	+	hypothetical protein
B9J08_001873	scaffold00008:719669-722885	-	hypothetical protein
B9J08_001874	scaffold00008:723388-724314	+	hypothetical protein
B9J08_001875	scaffold00008:724358-725104	-	triosephosphate isomerase
B9J08_001876	scaffold00008:725535-726553	-	hypothetical protein
B9J08_001877	scaffold00008:727073-728071	-	hypothetical protein
B9J08_001878	scaffold00008:728767-730551	+	lysine-tRNA ligase%2C cytoplasmic
