trans_id	gene_id	locus	Prod_name	Pfam	KeggEC	GO	KeggPathways	sigP3	sigP4	TmHMM	TopKeggBlast
B9J08_001394T0	B9J08_001394	B9J08_001394	 name="hypothetical protein" 	PF02077.10|SURF4[SURF4 family]	.	GO:0005783;GO:0005794;GO:0016021;GO:0005886	.	.	.	TMH:6	.
B9J08_001396T0	B9J08_001396	B9J08_001396	 name="hypothetical protein" 	PF01138.16|RNase_PH[3' exoribonuclease family, domain 1];PF03725.10|RNase_PH_C[3' exoribonuclease family, domain 2]	.	GO:0034473;GO:0070478;GO:0044732;GO:0016075;GO:0000176;GO:0071028;GO:0034476;GO:0000467;GO:0071039;GO:0004527;GO:0000177;GO:0005829;GO:0071051;GO:0071038;GO:0034475	.	.	.	.	.
B9J08_001397T0	B9J08_001397	B9J08_001397	 name="hypothetical protein" 	PF06728.8|PIG-U[GPI transamidase subunit PIG-U];PF05007.8|Mannosyl_trans[Mannosyltransferase (PIG-M)]	EC:2.4.1.-[Hexosyltransferases.]	GO:0006506;GO:0005783;GO:0031505;GO:0016758;GO:0016021	.	.	.	TMH:8	.
B9J08_001398T0	B9J08_001398	B9J08_001398	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_001399T0	B9J08_001399	B9J08_001399	 name="hypothetical protein" 	PF00153.22|Mito_carr[Mitochondrial carrier protein]	.	GO:0055085;GO:0016021	.	.	.	TMH:4	.
B9J08_001400T0	B9J08_001400	B9J08_001400	 name="hypothetical protein" 	PF05793.7|TFIIF_alpha[Transcription initiation factor IIF, alpha subunit (TFIIF-alpha)]	.	GO:0036180;GO:0003677;GO:0005634;GO:0036170;GO:0009267;GO:0003824;GO:0032968;GO:0005829;GO:0006367	.	.	.	.	.
B9J08_001401T0	B9J08_001401	B9J08_001401	 name="hypothetical protein" 	PF04064.8|DUF384[Domain of unknown function (DUF384)];PF04063.9|DUF383[Domain of unknown function (DUF383)]	.	.	.	.	.	.	.
B9J08_001402T0	B9J08_001402	B9J08_001402	 name="hypothetical protein" 	PF04389.12|Peptidase_M28[Peptidase family M28];PF01546.23|Peptidase_M20[Peptidase family M20/M25/M40];PF07687.9|M20_dimer[Peptidase dimerisation domain]	EC:3.4.17.4[Gly-Xaa carboxypeptidase.]	GO:0006508;GO:0004181;GO:0016021;EC:3.4.17	.	.	.	TMH:1	.
B9J08_001403T0	B9J08_001403	B9J08_001403	 name="hypothetical protein" 	PF01738.13|DLH[Dienelactone hydrolase family]	.	GO:0016787;GO:0005737	.	.	.	.	.
B9J08_001404T0	B9J08_001404	B9J08_001404	 name="hypothetical protein" 	PF03109.11|ABC1[ABC1 family]	.	GO:0016772	.	.	.	.	.
B9J08_001405T0	B9J08_001405	B9J08_001405	 name="hypothetical protein" 	PF05057.9|DUF676[Putative serine esterase (DUF676)]	.	GO:0004622;GO:0005811;GO:0016021;GO:0055088;EC:3.1.1.5	.	.	.	TMH:1	.
B9J08_001406T0	B9J08_001406	B9J08_001406	 name="proteasome subunit beta type-6" 	PF00227.21|Proteasome[Proteasome subunit]	EC:3.4.25.1[Proteasome endopeptidase complex.]	GO:0005634;GO:0043161;GO:0004298;GO:0010499;GO:0005829;EC:3.4.25;GO:0019774	.	.	.	.	.
B9J08_001407T0	B9J08_001407	B9J08_001407	 name="hypothetical protein" 	PF00810.13|ER_lumen_recept[ER lumen protein retaining receptor]	.	GO:0045015;GO:0030176;GO:0006888;GO:0015031;GO:0006621	.	.	.	TMH:5	.
B9J08_001408T0	B9J08_001408	B9J08_001408	 name="hypothetical protein" 	PF00085.15|Thioredoxin[Thioredoxin]	.	GO:0005623;GO:0045454	.	.	.	.	.
B9J08_001409T0	B9J08_001409	B9J08_001409	 name="hypothetical protein" 	PF13928.1|Flocculin_t3[Flocculin type 3 repeat]	.	.	.	.	.	TMH:1	.
B9J08_001410T0	B9J08_001410	B9J08_001410	 name="hypothetical protein" 	PF10433.4|MMS1_N[Mono-functional DNA-alkylating methyl methanesulfonate N-term];PF03178.10|CPSF_A[CPSF A subunit region]	.	GO:0003723;GO:0005847;GO:0005829;GO:0006379;GO:0006369;GO:0005739;GO:0006378	.	.	.	.	.
B9J08_001411T0	B9J08_001411	B9J08_001411	 name="hypothetical protein" 	PF06699.6|PIG-F[GPI biosynthesis protein family Pig-F]	EC:2.7.-.-[Transferring phosphorous-containing groups.]	GO:0006506;GO:0051377;GO:0016021;GO:0005789	.	.	.	TMH:6	.
B9J08_001412T0	B9J08_001412	B9J08_001412	 name="hypothetical protein" 	.	.	GO:0016021	.	.	.	TMH:1	.
B9J08_001413T0	B9J08_001413	B9J08_001413	 name="tyrosine-tRNA ligase%2C cytoplasmic" 	TIGR00234[tyrS: tyrosine--tRNA ligase];PF00579.20|tRNA-synt_1b[tRNA synthetases class I (W and Y)]	EC:6.1.1.1[Tyrosine--tRNA ligase.]	GO:0005634;GO:0005524;EC:6.1.1.1;GO:0004831;GO:0006437;GO:0005737	.	.	.	.	.
B9J08_001414T0	B9J08_001414	B9J08_001414	 name="hypothetical protein" 	PF02617.12|ClpS[ATP-dependent Clp protease adaptor protein ClpS];PF02207.15|zf-UBR[Putative zinc finger in N-recognin (UBR box)]	EC:6.3.2.19[Ubiquitin--protein ligase.]	GO:0008270;GO:0030163	.	.	.	.	.
B9J08_001415T0	B9J08_001415	B9J08_001415	 name="hypothetical protein" 	.	EC:6.3.2.19[Ubiquitin--protein ligase.]	GO:0008270	.	.	.	.	.
B9J08_001416T0	B9J08_001416	B9J08_001416	 name="hypothetical protein" 	PF14604.1|SH3_9[Variant SH3 domain];PF07653.12|SH3_2[Variant SH3 domain];PF00018.23|SH3_1[SH3 domain];PF00241.15|Cofilin_ADF[Cofilin/tropomyosin-type actin-binding protein]	.	GO:0003779;GO:0051286;GO:0030479;GO:0030427;GO:0032153	.	.	.	.	.
B9J08_001417T0	B9J08_001417	B9J08_001417	 name="hypothetical protein" 	PF00622.23|SPRY[SPRY domain]	.	GO:0005768;GO:0043328;GO:0016021	.	.	.	.	.
B9J08_001418T0	B9J08_001418	B9J08_001418	 name="hypothetical protein" 	PF00332.13|Glyco_hydro_17[Glycosyl hydrolases family 17]	EC:3.2.1.58[Glucan 1,3-beta-glucosidase.]	GO:0042973;GO:0009277;GO:0009986;GO:0042124;GO:0031505;GO:0005975;EC:3.2.1.39	.	.	.	.	.
B9J08_001419T0	B9J08_001419	B9J08_001419	 name="hypothetical protein" 	PF02598.12|Methyltrn_RNA_3[Putative RNA methyltransferase]	.	.	.	.	.	.	.
B9J08_001420T0	B9J08_001420	B9J08_001420	 name="hypothetical protein" 	.	.	GO:0003723;GO:0042175;GO:0005783;GO:0008298;GO:0005829;GO:0016071;GO:0007088;GO:0005844	.	.	.	.	.
B9J08_001421T0	B9J08_001421	B9J08_001421	 name="isopentenyl-diphosphate delta-isomerase" 	TIGR02150[IPP_isom_1: isopentenyl-diphosphate delta-isomerase];PF00293.23|NUDIX[NUDIX domain]	EC:5.3.3.2[Isopentenyl-diphosphate Delta-isomerase.]	GO:0005634;GO:0045337;GO:0016787;GO:0004452;EC:5.3.3.2	.	.	.	.	.
B9J08_001422T0	B9J08_001422	B9J08_001422	 name="lipoyl synthase%2C mitochondrial" 	TIGR00510[lipA: lipoyl synthase];PF04055.16|Radical_SAM[Radical SAM superfamily]	EC:2.8.1.8[Lipoyl synthase.]	GO:0046872;EC:2.8.1.8;GO:0051539;GO:0005739;GO:0009249;GO:0009107;GO:0016992	.	.	.	.	.
B9J08_001423T0	B9J08_001423	B9J08_001423	 name="hypothetical protein" 	PF00850.14|Hist_deacetyl[Histone deacetylase domain]	EC:3.5.1.98[Histone deacetylase.]	GO:0004407;EC:3.5.1.98;GO:0000083;GO:0045944;GO:0016575	.	.	.	.	.
B9J08_001424T0	B9J08_001424	B9J08_001424	 name="hypothetical protein" 	PF00620.22|RhoGAP[RhoGAP domain];PF00169.24|PH[PH domain]	.	GO:0007165;GO:0043547;GO:0035091;GO:0005096	ko05212[Pancreatic cancer]	.	.	.	.
B9J08_001425T0	B9J08_001425	B9J08_001425	 name="hypothetical protein" 	PF03153.8|TFIIA[Transcription factor IIA, alpha/beta subunit]	.	GO:0005672;GO:0005829;GO:0051123	.	.	.	.	.
B9J08_001426T0	B9J08_001426	B9J08_001426	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_001427T0	B9J08_001427	B9J08_001427	 name="hypothetical protein" 	PF01608.12|I_LWEQ[I/LWEQ domain];PF07651.11|ANTH[ANTH domain]	.	GO:0030276;GO:0030674;GO:0030866;GO:0051519;GO:0032153;GO:0030950;GO:0005543;GO:0051285;GO:0003779;GO:0007015;GO:0030479;GO:0034613;GO:0000131;GO:0006897;GO:0071852	.	.	.	.	.
B9J08_001428T0	B9J08_001428	B9J08_001428	 name="hypothetical protein" 	PF00153.22|Mito_carr[Mitochondrial carrier protein]	.	GO:0005310;GO:0005740;GO:0055085;GO:0006835;GO:0016021	.	.	.	.	.
B9J08_001429T0	B9J08_001429	B9J08_001429	 name="cytochrome b-c1 complex subunit 7" 	PF02271.11|UCR_14kD[Ubiquinol-cytochrome C reductase complex 14kD subunit];PF09830.4|ATP_transf[ATP adenylyltransferase]	EC:2.7.7.53[ATP adenylyltransferase.]	GO:0005524;GO:0003877;EC:2.7.7.53;GO:0009117	.	.	.	.	.
B9J08_001430T0	B9J08_001430	B9J08_001430	 name="ribosomal RNA large subunit methyltransferase J" 	PF11861.3|DUF3381[Domain of unknown function (DUF3381)];PF07780.7|Spb1_C[Spb1 C-terminal domain];PF01728.14|FtsJ[FtsJ-like methyltransferase]	EC:2.1.1.-[Methyltransferases.]	GO:0000453;GO:0070039;GO:0008650;GO:0044732;GO:0005730;GO:0000466;GO:0000463;GO:0030687	.	.	.	.	.
B9J08_001431T0	B9J08_001431	B9J08_001431	 name="hypothetical protein" 	PF10367.4|Vps39_2[Vacuolar sorting protein 39 domain 2];PF05131.9|Pep3_Vps18[Pep3/Vps18/deep orange family]	.	GO:0000329;GO:0006895;GO:0030674;GO:0006904;GO:0000306;GO:0045324;GO:0042144;GO:0032153;GO:0030897;GO:0005829;GO:0008270;GO:0035542;GO:0032889;GO:0033263	.	.	.	.	.
B9J08_001432T0	B9J08_001432	B9J08_001432	 name="fimbrin" 	PF00307.26|CH[Calponin homology (CH) domain]	.	GO:0003779;GO:0005509	.	.	.	.	.
B9J08_001433T0	B9J08_001433	B9J08_001433	 name="hypothetical protein" 	PF13232.1|Complex1_LYR_1[Complex1_LYR-like];PF05347.10|Complex1_LYR[Complex 1 protein (LYR family)]	EC:1.6.99.3[NADH dehydrogenase.];EC:1.6.5.3[NADH:ubiquinone reductase (H(+)-translocating).]	GO:0006120;GO:0005747	ko05016[Huntington's disease];ko05010[Alzheimer's disease];ko05012[Parkinson's disease]	.	.	.	.
B9J08_001434T0	B9J08_001434	B9J08_001434	 name="hypothetical protein" 	PF00466.15|Ribosomal_L10[Ribosomal protein L10]	.	GO:0005840;GO:0005654;GO:0035690;GO:0000027;GO:0030687;GO:0006364;GO:0005730;GO:0000956	.	.	.	.	.
B9J08_001435T0	B9J08_001435	B9J08_001435	 name="hypothetical protein" 	PF11699.3|CENP-C_C[Mif2/CENP-C like];PF15624.1|Mif2_N[Kinetochore CENP-C fungal homologue, Mif2, N-terminal]	.	GO:0030472;GO:0000941;GO:0007059;GO:0019237;GO:0051382	.	.	.	.	.
B9J08_001436T0	B9J08_001436	B9J08_001436	 name="hypothetical protein" 	PF08728.5|CRT10[CRT10]	.	GO:0006357	.	.	.	.	.
B9J08_001437T0	B9J08_001437	B9J08_001437	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_001438T0	B9J08_001438	B9J08_001438	 name="hypothetical protein" 	PF13492.1|GAF_3[GAF domain];PF01590.21|GAF[GAF domain];PF13185.1|GAF_2[GAF domain]	EC:1.8.4.14[L-methionine (R)-S-oxide reductase.]	GO:0034599;GO:0070191;GO:0055114;GO:0005737	.	.	.	.	.
B9J08_001439T0	B9J08_001439	B9J08_001439	 name="hypothetical protein" 	PF00013.24|KH_1[KH domain];PF13014.1|KH_3[KH domain]	.	GO:0003729;GO:0000784;GO:0008298;GO:0007004;GO:0048255;GO:0000932	.	.	.	.	.
B9J08_001440T0	B9J08_001440	B9J08_001440	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_001441T0	B9J08_001441	B9J08_001441	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_001442T0	B9J08_001442	B9J08_001442	 name="hypothetical protein" 	PF02881.14|SRP54_N[SRP54-type protein, helical bundle domain];PF00448.17|SRP54[SRP54-type protein, GTPase domain];TIGR01425[SRP54_euk: signal recognition particle protein SRP54];PF02978.14|SRP_SPB[Signal peptide binding domain];PF02492.14|cobW[CobW/HypB/UreG, nucleotide-binding domain]	.	GO:0006614;GO:0005783;GO:0005786;GO:0005829;GO:0005525;GO:0008312;GO:0003924	ko03070[Bacterial secretion system]	.	.	.	.
B9J08_001443T0	B9J08_001443	B9J08_001443	 name="hypothetical protein" 	PF13516.1|LRR_6[Leucine Rich repeat]	.	GO:0005874;GO:0031505;GO:0007026;GO:0005200	.	.	.	.	.
B9J08_001444T0	B9J08_001444	B9J08_001444	 name="hypothetical protein" 	PF05129.8|Elf1[Transcription elongation factor Elf1 like]	.	GO:0006368;GO:0034401;GO:0008023;GO:0003746;GO:0006414;GO:0000993	.	.	.	.	.
B9J08_001445T0	B9J08_001445	B9J08_001445	 name="hypothetical protein" 	PF00566.13|RabGAP-TBC[Rab-GTPase-TBC domain]	.	.	.	.	.	.	.
B9J08_001446T0	B9J08_001446	B9J08_001446	 name="hypothetical protein" 	PF01103.18|Bac_surface_Ag[Surface antigen]	.	GO:0019867	.	.	.	.	.
B9J08_001447T0	B9J08_001447	B9J08_001447	 name="homoserine kinase" 	PF00288.21|GHMP_kinases_N[GHMP kinases N terminal domain];PF08544.8|GHMP_kinases_C[GHMP kinases C terminal];TIGR00191[thrB: homoserine kinase]	EC:2.7.1.39[Homoserine kinase.]	GO:0009092;GO:0016310;GO:0005524;GO:0004413;GO:0009088;EC:2.7.1.39	.	.	.	.	.
B9J08_001448T0	B9J08_001448	B9J08_001448	 name="lanosterol 14-alpha demethylase" 	PF00067.17|p450[Cytochrome P450]	EC:1.14.13.70[Sterol 14-demethylase.]	GO:0020037;GO:0005783;GO:0008168;GO:0005506;GO:0008398;GO:0006696;GO:0055114;GO:0070988;GO:0016021;EC:1.14.13.70;GO:0032259	.	.	.	TMH:2	.
B9J08_001449T0	B9J08_001449	B9J08_001449	 name="hypothetical protein" 	PF00010.21|HLH[Helix-loop-helix DNA-binding domain]	.	GO:0007124;GO:0046983	.	.	.	.	.
B9J08_001450T0	B9J08_001450	B9J08_001450	 name="hypothetical protein" 	PF08022.7|FAD_binding_8[FAD-binding domain];PF08030.7|NAD_binding_6[Ferric reductase NAD binding domain];PF01794.14|Ferric_reduct[Ferric reductase like transmembrane component]	.	GO:0016021;GO:0055114;GO:0016491	.	.	.	TMH:8	.
B9J08_001451T0	B9J08_001451	B9J08_001451	 name="hypothetical protein" 	.	EC:2.1.1.-[Methyltransferases.]	GO:0019702;GO:0005634;EC:2.1.1.322;GO:0005829;GO:0035246	ko00350[Tyrosine metabolism];ko00624[Polycyclic aromatic hydrocarbon degradation]	.	.	.	.
B9J08_001452T0	B9J08_001452	B9J08_001452	 name="hypothetical protein" 	PF00675.15|Peptidase_M16[Insulinase (Peptidase family M16)];PF05193.16|Peptidase_M16_C[Peptidase M16 inactive domain]	EC:3.4.24.64[Mitochondrial processing peptidase.]	GO:0006627;EC:3.4.24;GO:0046872;GO:0004222;GO:0017087	.	.	.	.	.
B9J08_001453T0	B9J08_001453	B9J08_001453	 name="Poly(A) polymerase PAPa" 	PF04928.12|PAP_central[Poly(A) polymerase central domain];PF01909.18|NTP_transf_2[Nucleotidyltransferase domain];PF04926.10|PAP_RNA-bind[Poly(A) polymerase predicted RNA binding domain]	EC:2.7.7.19[Polynucleotide adenylyltransferase.]	GO:0004652;GO:0003723;GO:0005524;GO:0005847;GO:0033621;GO:0006378;GO:0046872;GO:0044011;GO:0005829;GO:1990251;EC:2.7.7.19	.	.	.	.	.
B9J08_001454T0	B9J08_001454	B9J08_001454	 name="hypothetical protein" 	PF01237.13|Oxysterol_BP[Oxysterol-binding protein]	.	GO:0008289;GO:0005634;GO:0044011;GO:0006869;GO:0005829;GO:0009405	.	.	.	.	.
B9J08_001455T0	B9J08_001455	B9J08_001455	 name="hypothetical protein" 	PF00454.22|PI3_PI4_kinase[Phosphatidylinositol 3- and 4-kinase];PF11522.3|Pik1[Yeast phosphatidylinositol-4-OH kinase Pik1]	EC:2.7.1.67[1-phosphatidylinositol 4-kinase.]	GO:0005634;GO:0048015;GO:0005802;EC:2.7.1.67;GO:0046854;GO:0004430	ko04070[Phosphatidylinositol signaling system]	.	.	.	.
B9J08_001456T0	B9J08_001456	B9J08_001456	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_001457T0	B9J08_001457	B9J08_001457	 name="hypothetical protein" 	PF07393.6|Sec10[Exocyst complex component Sec10]	.	GO:0000149;GO:0051286;GO:0034498;GO:0032153;GO:0005768;GO:0000920;GO:0005730;GO:0005794;GO:0005829;GO:0030427;GO:0048278;GO:0006897;GO:0032456;GO:0006887	.	.	.	.	.
B9J08_001458T0	B9J08_001458	B9J08_001458	 name="hypothetical protein" 	PF01391.13|Collagen[Collagen triple helix repeat (20 copies)];PF10182.4|Flo11[Flo11 domain]	.	.	.	.	.	.	.
B9J08_001459T0	B9J08_001459	B9J08_001459	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_001460T0	B9J08_001460	B9J08_001460	 name="hypothetical protein" 	.	.	GO:0005739	.	.	.	.	.
B9J08_001461T0	B9J08_001461	B9J08_001461	 name="T-complex protein 1 subunit eta" 	PF00118.19|Cpn60_TCP1[TCP-1/cpn60 chaperonin family];TIGR02345[chap_CCT_eta: T-complex protein 1, eta subunit]	.	GO:0006457;GO:0005634;GO:0005524;GO:0051082;GO:0005832	.	.	.	.	.
B9J08_001462T0	B9J08_001462	B9J08_001462	 name="hypothetical protein" 	PF00134.18|Cyclin_N[Cyclin, N-terminal domain];PF02984.14|Cyclin_C[Cyclin, C-terminal domain]	.	GO:0005634	.	.	.	.	.
B9J08_001463T0	B9J08_001463	B9J08_001463	 name="hypothetical protein" 	PF00063.16|Myosin_head[Myosin head (motor domain)]	.	GO:0000915;GO:0005524;GO:0000142;GO:0003774;GO:0000131;GO:0000916;GO:0016460	ko05416[Viral myocarditis]	.	.	.	.
B9J08_001464T0	B9J08_001464	B9J08_001464	 name="phosphate:H+ symporter" 	TIGR00887[2A0109: phosphate:H+ symporter];PF07690.11|MFS_1[Major Facilitator Superfamily];PF00083.19|Sugar_tr[Sugar (and other) transporter]	.	GO:0071421;GO:0005384;GO:0097080;GO:0006817;GO:0005887;GO:0005315;GO:0006797;GO:0015992;GO:0097079	.	.	.	TMH:7	.
B9J08_001465T0	B9J08_001465	B9J08_001465	 name="hypothetical protein" 	PF01569.16|PAP2[PAP2 superfamily]	.	GO:0016021	.	.	.	TMH:5	.
B9J08_001466T0	B9J08_001466	B9J08_001466	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_001467T0	B9J08_001467	B9J08_001467	 name="S-adenosylmethionine synthase" 	TIGR01034[metK: methionine adenosyltransferase];PF00438.15|S-AdoMet_synt_N[S-adenosylmethionine synthetase, N-terminal domain];PF02773.11|S-AdoMet_synt_C[S-adenosylmethionine synthetase, C-terminal domain];PF02772.11|S-AdoMet_synt_M[S-adenosylmethionine synthetase, central domain]	EC:2.5.1.6[Methionine adenosyltransferase.]	GO:0005634;GO:0005524;GO:0006730;EC:2.5.1.6;GO:0046872;GO:0006555;GO:0005829;GO:0004478;GO:0006556	.	.	.	.	.
B9J08_001468T0	B9J08_001468	B9J08_001468	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_001469T0	B9J08_001469	B9J08_001469	 name="hypothetical protein" 	PF09444.5|MRC1[MRC1-like domain]	.	GO:0030466;GO:0000781;GO:0006281;GO:0033262;GO:0048478;GO:0006348;GO:0000076;GO:0031573;GO:0031298;GO:0043570;GO:0007064;GO:0000723	.	.	.	.	.
B9J08_001470T0	B9J08_001470	B9J08_001470	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_001471T0	B9J08_001471	B9J08_001471	 name="KRR1 small subunit processome component" 	.	.	GO:0003723;GO:0030686;GO:0032040;GO:0005730;GO:0000447	.	.	.	.	.
B9J08_001472T0	B9J08_001472	B9J08_001472	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_001473T0	B9J08_001473	B9J08_001473	 name="hypothetical protein" 	PF00400.27|WD40[WD domain, G-beta repeat]	.	GO:0005634;GO:0000027;GO:0022626	.	.	.	.	.
B9J08_001474T0	B9J08_001474	B9J08_001474	 name="hypothetical protein" 	PF01896.14|DNA_primase_S[Eukaryotic and archaeal DNA primase small subunit];TIGR00335[primase_sml: putative DNA primase, eukaryotic-type, small subunit]	EC:2.7.7.-[Nucleotidyltransferases.]	GO:0006269;GO:0003896;GO:0005658;GO:1990077	ko03030[DNA replication];ko00240[Pyrimidine metabolism]	.	.	.	.
B9J08_001475T0	B9J08_001475	B9J08_001475	 name="hypothetical protein" 	PF00150.13|Cellulase[Cellulase (glycosyl hydrolase family 5)]	.	GO:0004553;GO:0005975	.	.	.	.	.
B9J08_001476T0	B9J08_001476	B9J08_001476	 name="hypothetical protein" 	PF00271.26|Helicase_C[Helicase conserved C-terminal domain];PF00575.18|S1[S1 RNA binding domain];PF04408.18|HA2[Helicase associated domain (HA2)];PF00270.24|DEAD[DEAD/DEAH box helicase];PF07717.11|OB_NTP_bind[Oligonucleotide/oligosaccharide-binding (OB)-fold]	EC:3.6.4.13[RNA helicase.]	GO:0071007;GO:0000350;GO:0005524;GO:0004004;GO:0071021;GO:0000390;GO:0003676	.	.	.	.	.
B9J08_001477T0	B9J08_001477	B9J08_001477	 name="hypothetical protein" 	PF00227.21|Proteasome[Proteasome subunit]	EC:3.4.25.1[Proteasome endopeptidase complex.]	GO:0004298;GO:0010499;GO:0005635;GO:0010950;GO:0043161;GO:0061133;GO:0005829;EC:3.4.25;GO:0019774;GO:0005789	.	.	.	.	.
B9J08_001478T0	B9J08_001478	B9J08_001478	 name="riboflavin synthase%2C alpha subunit" 	PF00677.12|Lum_binding[Lumazine binding domain];TIGR00187[ribE: riboflavin synthase, alpha subunit]	EC:2.5.1.9[Riboflavin synthase.]	GO:0005634;EC:2.5.1.9;GO:0009231;GO:0055114;GO:0004746;GO:0005829;GO:0016021;GO:0016491	.	.	.	.	.
B9J08_001479T0	B9J08_001479	B9J08_001479	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_001480T0	B9J08_001480	B9J08_001480	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_001481T0	B9J08_001481	B9J08_001481	 name="hypothetical protein" 	.	.	.	.	.	.	TMH:4	.
B9J08_001482T0	B9J08_001482	B9J08_001482	 name="hypothetical protein" 	.	.	GO:0016021	.	.	.	TMH:2	.
B9J08_001483T0	B9J08_001483	B9J08_001483	 name="hypothetical protein" 	PF04991.8|LicD[LicD family]	.	.	.	.	.	TMH:1	.
B9J08_001484T0	B9J08_001484	B9J08_001484	 name="3-ketoacyl-CoA thiolase B%2C peroxisomal" 	PF02803.13|Thiolase_C[Thiolase, C-terminal domain];PF00108.18|Thiolase_N[Thiolase, N-terminal domain]	EC:2.3.1.16[Acetyl-CoA C-acyltransferase.]	GO:0006635;GO:0003729;EC:2.3.1.16;GO:0003988;GO:0005782;GO:0005758	ko00362[Benzoate degradation];ko00642[Ethylbenzene degradation];ko00280[Valine, leucine and isoleucine degradation];ko00281[Geraniol degradation];ko00592[alpha-Linolenic acid metabolism]	.	.	.	.
B9J08_001485T0	B9J08_001485	B9J08_001485	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_001486T0	B9J08_001486	B9J08_001486	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_001487T0	B9J08_001487	B9J08_001487	 name="hypothetical protein" 	PF07690.11|MFS_1[Major Facilitator Superfamily]	.	GO:0055085;GO:0016021	.	.	.	TMH:12	.
B9J08_001489T0	B9J08_001489	B9J08_001489	 name="hypothetical protein" 	PF00328.17|His_Phos_2[Histidine phosphatase superfamily (branch 2)]	.	GO:0003993;GO:0016311;EC:3.1.3.2	.	.	.	.	.
B9J08_001490T0	B9J08_001490	B9J08_001490	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_001491T0	B9J08_001491	B9J08_001491	 name="hypothetical protein" 	.	.	GO:0016021	.	.	.	TMH:5	.
B9J08_001492T0	B9J08_001492	B9J08_001492	 name="hypothetical protein" 	PF13414.1|TPR_11[TPR repeat]	.	GO:0005634;GO:0031505;GO:0005737	.	.	.	.	.
B9J08_001493T0	B9J08_001493	B9J08_001493	 name="hypothetical protein" 	PF00069.20|Pkinase[Protein kinase domain];PF07714.12|Pkinase_Tyr[Protein tyrosine kinase];PF06293.9|Kdo[Lipopolysaccharide kinase (Kdo/WaaP) family]	EC:2.7.11.-[Protein-serine/threonine kinases.]	GO:0030036;GO:0005524;GO:0030100;GO:0042802;GO:0006468;GO:0005935;GO:0005737;GO:0004672	.	.	.	.	.
B9J08_001494T0	B9J08_001494	B9J08_001494	 name="hypothetical protein" 	PF04084.9|ORC2[Origin recognition complex subunit 2]	.	GO:0003688;GO:0030466;GO:0000781;GO:0044732;GO:0005664;GO:0006270;GO:0051568;GO:0006348;GO:0032153;GO:0000790;GO:0031261;GO:0006267;GO:0005656;GO:0003682	ko04113[Meiosis - yeast];ko04111[Cell cycle - yeast]	.	.	.	.
B9J08_001495T0	B9J08_001495	B9J08_001495	 name="hypothetical protein" 	PF01096.13|TFIIS_C[Transcription factor S-II (TFIIS)];PF02150.11|RNA_POL_M_15KD[RNA polymerases M/15 Kd subunit]	.	GO:0006386;EC:2.7.7.6;GO:0042779;GO:0005666;GO:0003676;GO:0003899;GO:0005730;GO:0005829;GO:0008270;GO:0042797	ko04623[Cytosolic DNA-sensing pathway];ko00240[Pyrimidine metabolism];ko03020[RNA polymerase]	.	.	.	.
B9J08_001496T0	B9J08_001496	B9J08_001496	 name="hypothetical protein" 	PF12706.2|Lactamase_B_2[Beta-lactamase superfamily domain]	.	.	.	.	.	.	.
B9J08_001497T0	B9J08_001497	B9J08_001497	 name="hypothetical protein" 	.	.	GO:0006396;GO:0000166	.	.	.	.	.
B9J08_001498T0	B9J08_001498	B9J08_001498	 name="hypothetical protein" 	PF10350.4|DUF2428[Putative death-receptor fusion protein (DUF2428)]	.	GO:0005634;GO:0005829	.	.	.	.	.
B9J08_001499T0	B9J08_001499	B9J08_001499	 name="hypothetical protein" 	PF07690.11|MFS_1[Major Facilitator Superfamily];PF00083.19|Sugar_tr[Sugar (and other) transporter]	.	GO:0055085;GO:0016021	.	.	.	TMH:12	.
B9J08_001500T0	B9J08_001500	B9J08_001500	 name="hypothetical protein" 	.	.	.	.	.	.	TMH:1	.
B9J08_001501T0	B9J08_001501	B9J08_001501	 name="hypothetical protein" 	PF00271.26|Helicase_C[Helicase conserved C-terminal domain];PF04851.10|ResIII[Type III restriction enzyme, res subunit];PF00270.24|DEAD[DEAD/DEAH box helicase];PF00176.18|SNF2_N[SNF2 family N-terminal domain]	EC:3.6.4.-[Acting on acid anhydrides; involved in cellular and subcellular movement.]	GO:0045144;GO:0015616;GO:0006281;GO:0005524;GO:0032508;GO:0003690;GO:0007131;GO:0030491	.	.	.	.	.
